ECNumber	EnzymeType	Organism	Smiles	Substrate	UniprotID	Value	Unit
5.3.1.14	wildtype	Thermoanaerobacterium saccharolyticum	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.28	s^(-1)
5.3.1.14	S329A	Pseudomonas stutzeri	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.28	s^(-1)
5.3.1.14	H101N	Pseudomonas stutzeri	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.41	s^(-1)
5.3.1.14	wildtype	Pseudomonas stutzeri	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		6.2	s^(-1)
5.3.1.14	wildtype	Dictyoglomus turgidum	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		1.3	s^(-1)
5.3.1.14	wildtype	Caldicellulosiruptor saccharolyticus	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		4.77	s^(-1)
5.3.1.14	wildtype	Dictyoglomus turgidum	C(C(C(C(=O)CO)O)O)O	L-ribulose		2.1	s^(-1)
5.3.1.14	wildtype	Thermotoga maritima	C(C(C(C(=O)CO)O)O)O	L-ribulose		2.55	s^(-1)
5.3.1.14	wildtype	Bacillus subtilis	C(C(C(C(C=O)O)O)O)O	L-Lyxose		0.62	s^(-1)
5.3.1.14	wildtype	Mesorhizobium loti	C(C(C(C(C=O)O)O)O)O	L-Lyxose		3.1	s^(-1)
5.3.1.14	wildtype	Thermoanaerobacterium saccharolyticum	C(C(C(C(C=O)O)O)O)O	L-Lyxose		5.3	s^(-1)
5.3.1.14	wildtype	Dictyoglomus turgidum	C(C(C(C(C=O)O)O)O)O	L-Lyxose		6.0	s^(-1)
5.3.1.14	wildtype	Thermotoga maritima	C(C(C(C(C=O)O)O)O)O	L-Lyxose		6.72	s^(-1)
5.3.1.14	wildtype	Caldicellulosiruptor saccharolyticus	C(C(C(C(C=O)O)O)O)O	L-Lyxose		50.8	s^(-1)
5.3.1.14	wildtype	Thermobacillus composti	C1C(C(C(C(O1)(CO)O)O)O)O	D-tagatose		0.04	s^(-1)
5.3.1.14	wildtype	Thermobacillus composti	C(C(C(C(C(C=O)O)O)O)O)O	L-allose		0.27	s^(-1)
5.3.1.14	wildtype	Bacillus subtilis	C(C(C(C(C(C=O)O)O)O)O)O	L-allose		1.3	s^(-1)
5.3.1.14	wildtype	Mesorhizobium loti	C(C(C(C(C(C=O)O)O)O)O)O	L-allose		1.3	s^(-1)
5.3.1.14	wildtype	Thermoanaerobacterium saccharolyticum	C(C(C(C(C(C=O)O)O)O)O)O	L-allose		0.51	s^(-1)
5.3.1.14	wildtype	Dictyoglomus turgidum	C(C(C(C(C(C=O)O)O)O)O)O	L-allose		4.2	s^(-1)
5.3.1.14	wildtype	Thermotoga maritima	C(C(C(C(C(C=O)O)O)O)O)O	L-allose		5.82	s^(-1)
5.3.1.14	wildtype	Caldicellulosiruptor saccharolyticus	C(C(C(C(C(C=O)O)O)O)O)O	L-allose		21.6	s^(-1)
5.3.1.14	wildtype	Dictyoglomus turgidum	C(C(C(C(C(=O)CO)O)O)O)O	L-psicose		1.6	s^(-1)
5.3.1.14	wildtype	Thermotoga maritima	C(C(C(C(C(=O)CO)O)O)O)O	L-psicose		2.23	s^(-1)
2.7.1.6	A334S/G373S/M180V/Y379W/R366Q/M60V/D268E	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		600.0	s^(-1)
2.7.1.6	A334S/G373S/M180V/Y379W/R366Q/M60V/D268E/M185L	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		1000.0	s^(-1)
2.7.1.6	E245S	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		440.0	s^(-1)
2.7.1.6	M185L	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		236.0	s^(-1)
2.7.1.6	R36K	Lactococcus lactis	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		25.0	s^(-1)
2.7.1.6	L231S	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		360.0	s^(-1)
2.7.1.6	wildtype	Leminorella grimontii	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		32.9	s^(-1)
2.7.1.6	wildtype	Streptomyces coelicolor	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		38.9	s^(-1)
2.7.1.6	Y379W	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		1360.0	s^(-1)
2.7.1.6	wildtype	Bifidobacterium longum subsp. infantis	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		59.5	s^(-1)
2.7.1.6	E244S	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		360.0	s^(-1)
2.7.1.6	R105M	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		98.0	s^(-1)
2.7.1.6	wildtype	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		430.0	s^(-1)
2.7.1.6	M180V	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		185.0	s^(-1)
2.7.1.6	G373S	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		190.0	s^(-1)
2.7.1.6	wildtype	Lactococcus lactis	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		207.0	s^(-1)
2.7.1.6	Y379W/M185L	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		950.0	s^(-1)
2.7.1.6	R228M	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		240.0	s^(-1)
2.7.1.6	D268E	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		240.0	s^(-1)
2.7.1.6	R228K	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		250.0	s^(-1)
2.7.1.6	M60V	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		270.0	s^(-1)
2.7.1.6	R366Q	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		270.0	s^(-1)
2.7.1.6	E174D	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		340.0	s^(-1)
2.7.1.6	Q242S	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		610.0	s^(-1)
2.7.1.6	A334S/G373S/M180V/R336Q/M60V/D268E	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		390.0	s^(-1)
2.7.1.6	A334S	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		550.0	s^(-1)
2.7.1.6	A334S/M60V	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		620.0	s^(-1)
2.7.1.6	A334S/G373S/M180V/M60V/D268E	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		680.0	s^(-1)
2.7.1.6	M180V/M60V	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		1430.0	s^(-1)
2.7.1.6	A334S/M180V/M60V	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		2000.0	s^(-1)
2.7.1.6	A334S/M180V/G373S/M60V	Homo sapiens	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		3000.0	s^(-1)
2.7.1.6	wildtype	Streptococcus pneumoniae	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.07	s^(-1)
2.7.1.6	wildtype	Trypanosoma cruzi	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		3.5	s^(-1)
2.7.1.6	wildtype	Bifidobacterium longum subsp. infantis	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		164.0	s^(-1)
2.7.1.6	wildtype	Streptococcus pneumoniae	CC(=O)NC1C(C(C(OC1O)CO)O)O	N-acetyl-alpha-D-galactosamine		0.022	s^(-1)
2.7.1.6	R37A	Rattus norvegicus	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.064	s^(-1)
2.7.1.6	R36A	Lactococcus lactis	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.081	s^(-1)
2.7.1.6	Y109H	Rattus norvegicus	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.089	s^(-1)
2.7.1.6	Y109F	Rattus norvegicus	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.12	s^(-1)
2.7.1.6	Y236F	Rattus norvegicus	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.122	s^(-1)
2.7.1.6	R36K	Lactococcus lactis	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.45	s^(-1)
2.7.1.6	wildtype	Rattus norvegicus	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.93	s^(-1)
2.7.1.6	wildtype	Streptomyces coelicolor	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		2.15	s^(-1)
2.7.1.6	Y379W/M185L	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		2.4	s^(-1)
2.7.1.6	R105M	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		2.7	s^(-1)
2.7.1.6	R228M	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		3.3	s^(-1)
2.7.1.6	E245S	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		3.9	s^(-1)
2.7.1.6	L231S	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		3.9	s^(-1)
2.7.1.6	A334S/G373S/M180V/Y379W/R366Q/M60V/D268E/M185L	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		3.9	s^(-1)
2.7.1.6	R366Q	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		4.0	s^(-1)
2.7.1.6	Y379W	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		5.2	s^(-1)
2.7.1.6	A334S/M60V	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		5.4	s^(-1)
2.7.1.6	D268E	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		6.0	s^(-1)
2.7.1.6	E244S	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		6.2	s^(-1)
2.7.1.6	A334S/G373S/M180V/M60V/D268E	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		6.3	s^(-1)
2.7.1.6	A334S/M180V/G373S/M60V	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		7.3	s^(-1)
2.7.1.6	E174D	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		7.6	s^(-1)
2.7.1.6	M185L	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		8.0	s^(-1)
2.7.1.6	M180V/M60V	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		8.8	s^(-1)
2.7.1.6	wildtype	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		10.1	s^(-1)
2.7.1.6	M180V	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		10.1	s^(-1)
2.7.1.6	A334S/G373S/M180V/R336Q/M60V/D268E	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		10.9	s^(-1)
2.7.1.6	Q242S	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		13.5	s^(-1)
2.7.1.6	A334S	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		15.4	s^(-1)
2.7.1.6	A334S/G373S/M180V/Y379W/R366Q/M60V/D268E	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		16.1	s^(-1)
2.7.1.6	wildtype	Leminorella grimontii	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		18.1	s^(-1)
2.7.1.6	R228K	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		19.6	s^(-1)
2.7.1.6	A334S/M180V/M60V	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		20.0	s^(-1)
2.7.1.6	M60V	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		21.8	s^(-1)
2.7.1.6	wildtype	Lactococcus lactis	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		23.0	s^(-1)
2.7.1.6	G373S	Homo sapiens	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		25.0	s^(-1)
2.7.1.6	M185L	Homo sapiens	C(C=O)C(C(C(CO)O)O)O	2-deoxy-D-glucose		0.006	s^(-1)
2.7.1.6	R37A	Rattus norvegicus	C(C=O)C(C(C(CO)O)O)O	2-deoxy-D-glucose		0.019	s^(-1)
2.7.1.6	Y109H	Rattus norvegicus	C(C=O)C(C(C(CO)O)O)O	2-deoxy-D-glucose		0.026	s^(-1)
2.7.1.6	Y109F	Rattus norvegicus	C(C=O)C(C(C(CO)O)O)O	2-deoxy-D-glucose		0.037	s^(-1)
2.7.1.6	Y236F	Rattus norvegicus	C(C=O)C(C(C(CO)O)O)O	2-deoxy-D-glucose		0.047	s^(-1)
2.7.1.6	wildtype	Rattus norvegicus	C(C=O)C(C(C(CO)O)O)O	2-deoxy-D-glucose		0.237	s^(-1)
2.7.1.6	Y379W	Homo sapiens	C(C=O)C(C(C(CO)O)O)O	2-deoxy-D-glucose		0.39	s^(-1)
2.7.1.6	L231S	Homo sapiens	C(C=O)C(C(C(CO)O)O)O	2-deoxy-D-glucose		0.5	s^(-1)
2.7.1.6	A334S/G373S/M180V/Y379W/R366Q/M60V/D268E/M185L	Homo sapiens	C(C=O)C(C(C(CO)O)O)O	2-deoxy-D-glucose		2.3	s^(-1)
2.7.1.6	A334S/G373S/M180V/Y379W/R366Q/M60V/D268E	Homo sapiens	C(C=O)C(C(C(CO)O)O)O	2-deoxy-D-glucose		3.1	s^(-1)
2.7.1.6	E244S	Homo sapiens	C(C=O)C(C(C(CO)O)O)O	2-deoxy-D-glucose		4.5	s^(-1)
2.7.1.6	Q242S	Homo sapiens	C(C=O)C(C(C(CO)O)O)O	2-deoxy-D-glucose		5.6	s^(-1)
2.7.1.6	E245S	Homo sapiens	C(C=O)C(C(C(CO)O)O)O	2-deoxy-D-glucose		5.8	s^(-1)
2.7.1.6	wildtype	Homo sapiens	C(C=O)C(C(C(CO)O)O)O	2-deoxy-D-glucose		7.1	s^(-1)
2.7.1.6	Y236F	Rattus norvegicus	C(C1C(C(C(C(O1)O)N)O)O)O	D-glucosamine		0.013	s^(-1)
2.7.1.6	Y109H	Rattus norvegicus	C(C1C(C(C(C(O1)O)N)O)O)O	D-glucosamine		0.059	s^(-1)
2.7.1.6	Y109F	Rattus norvegicus	C(C1C(C(C(C(O1)O)N)O)O)O	D-glucosamine		0.06	s^(-1)
2.7.1.6	R37A	Rattus norvegicus	C(C1C(C(C(C(O1)O)N)O)O)O	D-glucosamine		0.066	s^(-1)
2.7.1.6	Y379W	Homo sapiens	C(C1C(C(C(C(O1)O)N)O)O)O	D-glucosamine		0.3	s^(-1)
2.7.1.6	A334S/G373S/M180V/Y379W/R366Q/M60V/D268E/M185L	Homo sapiens	C(C1C(C(C(C(O1)O)N)O)O)O	D-glucosamine		0.4	s^(-1)
2.7.1.6	wildtype	Rattus norvegicus	C(C1C(C(C(C(O1)O)N)O)O)O	D-glucosamine		0.615	s^(-1)
2.7.1.6	A334S/G373S/M180V/Y379W/R366Q/M60V/D268E	Homo sapiens	C(C1C(C(C(C(O1)O)N)O)O)O	D-glucosamine		0.9	s^(-1)
2.7.1.6	E245S	Homo sapiens	C(C1C(C(C(C(O1)O)N)O)O)O	D-glucosamine		1.2	s^(-1)
2.7.1.6	wildtype	Homo sapiens	C(C1C(C(C(C(O1)O)N)O)O)O	D-glucosamine		2.9	s^(-1)
2.7.1.6	E244S	Homo sapiens	C(C1C(C(C(C(O1)O)N)O)O)O	D-glucosamine		19.7	s^(-1)
2.7.1.6	Y379W/M185L	Homo sapiens	C(C1C(C(C(C(O1)O)N)O)O)O	D-glucosamine		91.0	s^(-1)
3.4.22.69	N28A	Severe acute respiratory syndrome-related coronavirus	CC(C)CC(C(=O)NC(CCC(=O)N)C(=O)NC(CO)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCSC)C(=O)NC(CCC(=O)O)C(=O)NCCNC2=CC=CC3=C2C=CC=C3S(=O)(=O)O)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CCCCN)NC(=O)C4=CC=C(C=C4)N=NC5=CC=C(C=C5)N(C)C.C(=O)(C(F)(F)F)O	Dabcyl-KTSAVLQSGFRKME-EDANS		0.012	s^(-1)
3.4.22.69	wildtype	Severe acute respiratory syndrome-related coronavirus	CC(C)CC(C(=O)NC(CCC(=O)N)C(=O)NC(CO)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(CCSC)C(=O)NC(CCC(=O)O)C(=O)NCCNC2=CC=CC3=C2C=CC=C3S(=O)(=O)O)NC(=O)C(C(C)C)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CCCCN)NC(=O)C4=CC=C(C=C4)N=NC5=CC=C(C=C5)N(C)C.C(=O)(C(F)(F)F)O	Dabcyl-KTSAVLQSGFRKME-EDANS		0.643	s^(-1)
2.7.7.103	wildtype	Campylobacter jejuni subsp. jejuni serotype O:2	C(CC(=O)NP(=O)(O)O)C(C(=O)O)N	N5-phospho-L-glutamine		8.0	s^(-1)
3.1.6.6	wildtype	Sinorhizobium meliloti	C1=CC(=CC=C1[N+](=O)[O-])OS(=O)(=O)O	4-nitrophenyl sulfate		0.012	s^(-1)
3.1.6.6	wildtype	Sinorhizobium meliloti	CC1=CC(=O)OC2=C1C=CC(=C2)OS(=O)(=O)O	4-Methylumbelliferyl sulfate		0.0036	s^(-1)
3.1.6.6	wildtype	Sinorhizobium meliloti	C[N+](C)(C)CCOS(=O)(=O)[O-]	choline O-sulfate		4.8	s^(-1)
3.1.6.6	wildtype	Sinorhizobium meliloti	CP(=O)([O-])OC1=CC=C(C=C1)[N+](=O)[O-]	4-nitrophenyl methylphosphonate		0.0015	s^(-1)
3.1.6.6	E386L	Sinorhizobium meliloti	C[N+](C)(C)CCOS(=O)(=O)[O-]	choline O-sulfate		0.0008	s^(-1)
3.1.6.6	C54S	Sinorhizobium meliloti	C[N+](C)(C)CCOS(=O)(=O)[O-]	choline O-sulfate		0.0012	s^(-1)
3.1.6.6	H104A	Sinorhizobium meliloti	C[N+](C)(C)CCOS(=O)(=O)[O-]	choline O-sulfate		0.0026	s^(-1)
1.14.13.59	P238R	Nocardia farcinica	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	NADPH		0.79	s^(-1)
1.14.13.59	R301A	Nocardia farcinica	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	NADPH		0.545	s^(-1)
1.14.13.59	E216Q	Nocardia farcinica	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	NADPH		5.95	s^(-1)
1.14.13.59	wildtype	Nocardia farcinica	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	NADPH		7.7	s^(-1)
1.14.13.59	M239R	Nocardia farcinica	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	NADPH		10.7	s^(-1)
